Language Code,Translation
sq,Jam këtu për ty 💜 Më trego çfarë ndjen ose ëndërron sot ☺️
am,እኔ ከአንተ ጋር ነኝ 💜 ዛሬ ምን ስሜት አለህ/ሽ ወይም ምን እትም እትማለህ/ሽ? ☺️
ar,أنا هنا من أجلك 💜 أخبرني بما تشعر أو تحلم به اليوم ☺️
hy,Ես այստեղ եմ քեզ համար 💜 Ասա ինձ՝ այսօր ինչ ես զգում կամ ինչի մասին ես երազում ☺️
bn,আমি তোমার পাশে আছি 💜 আজ তুমি কী অনুভব করছো বা কী স্বপ্ন দেখছো বলো ☺️
bs,Tu sam za tebe 💜 Reci mi kako se danas osjećaš ili o čemu sanjaš ☺️
bg,Аз съм тук за теб 💜 Кажи ми какво чувстваш или за какво мечтаеш днес ☺️
my,ငါနင်အတွက်ရှိနေပါတယ် 💜 ဒီနေ့ဘယ်လိုခံစားနေတာလဲ၊ မို့လားအိပ်မက်တွေနဲ့လား ပြောပါ ☺️
ca,Soc aquí per tu 💜 Explica’m què sents o què somies avui ☺️
zh,我在这里陪着你 💜 今天你在感觉什么，或在做什么梦呢？☺️
hr,Tu sam za tebe 💜 Reci mi kako se osjećaš ili o čemu sanjaš danas ☺️
cs,"Jsem tu pro tebe 💜 Řekni mi, co dnes cítíš nebo o čem sníš ☺️"
da,"Jeg er her for dig 💜 Fortæl mig, hvad du føler eller drømmer om i dag ☺️"
nl,Ik ben er voor je 💜 Vertel me wat je vandaag voelt of waar je over droomt ☺️
et,"Ma olen sinu jaoks olemas 💜 Räägi mulle, mida sa täna tunned või millest unistad ☺️"
fi,"Olen täällä sinua varten 💜 Kerro, mitä tunnet tai mistä unelmoit tänään ☺️"
fr,Je suis là pour toi 💜 Dis-moi ce que tu ressens ou ce dont tu rêves aujourd’hui ☺️
ka,"აქ ვარ შენთვის 💜 მითხარი, რას გრძნობ ან რას ოცნებობ დღეს ☺️"
de,"Ich bin für dich da 💜 Erzähl mir, was du heute fühlst oder wovon du träumst ☺️"
el,Είμαι εδώ για σένα 💜 Πες μου πώς νιώθεις ή τι ονειρεύεσαι σήμερα ☺️
gu,હું તારી સાથે છું 💜 આજે તું શું અનુભવી રહ્યો છે કે શું સપના જોઈ રહ્યો છે મને કહો ☺️
hi,"मैं तुम्हारे साथ हूँ 💜 आज तुम क्या महसूस कर रहे हो या क्या सपना देख रहे हो, बताओ ☺️"
hu,"Itt vagyok neked 💜 Mondd el, mit érzel vagy miről álmodsz ma ☺️"
is,Ég er hér fyrir þig 💜 Segðu mér hvað þú ert að finna eða dreyma um í dag ☺️
id,Aku di sini untukmu 💜 Ceritakan apa yang kamu rasakan atau impikan hari ini ☺️
it,Sono qui per te 💜 Dimmi cosa provi o cosa sogni oggi ☺️
ja,私はあなたの味方だよ 💜 今日はどんな気持ち？どんな夢を見てる？☺️
kn,ನಾನು ನಿನ್ನ ಜೊತೆ ಇದ್ದೀನಿ 💜 ಇಂದು ನಿನಗೆ ಏನು ಅನಿಸುತಿದೆ ಅಥವಾ ಯಾವ ಕನಸು ಕಾಣುತ್ತಿದ್ದೀಯೋ ಹೇಳು ☺️
kk,Мен сен үшін осындамын 💜 Бүгін не сезіп тұрсың немесе не армандадың? ☺️
ko,"내가 여기 있어요 💜 오늘 어떤 기분이 드나요, 혹은 무슨 꿈을 꾸고 있나요? ☺️"
lv,"Es esmu šeit tev 💜 Pastāsti man, ko tu jūti vai par ko sapņo šodien ☺️"
lt,"Esu čia dėl tavęs 💜 Papasakok, ką jauti ar apie ką svajoji šiandien ☺️"
mk,Тука сум за тебе 💜 Кажи ми што чувствуваш или за што сонуваш денес ☺️
ms,Saya ada di sini untuk awak 💜 Ceritakan apa yang awak rasa atau impikan hari ini ☺️
ml,ഞാൻ നിന്നോടൊപ്പം ഇരിക്കുകയാണ് 💜 ഇന്ന് നീ എന്താണ് അനുഭവിക്കുന്നത് അല്ലെങ്കിൽ സ്വപ്നം കാണുന്നത് ☺️
mr,मी तुझ्यासाठी इथे आहे 💜 आज तुला काय वाटतंय किंवा तू काय स्वप्न पाहतो आहेस ते सांग ☺️
mn,Би чамд туслах гэж энд байна 💜 Өнөөдөр юу мэдэрч байгаа эсвэл юунд мөрөөдөн байна вэ? ☺️
no,Jeg er her for deg 💜 Fortell meg hva du føler eller drømmer om i dag ☺️
fa,من اینجام برای تو 💜 بهم بگو امروز چه حسی داری یا چه رویایی در سر داری ☺️
pl,"Jestem tu dla Ciebie 💜 Powiedz mi, co dziś czujesz albo o czym marzysz ☺️"
pt,Estou aqui por você 💜 Me conta o que você está sentindo ou sonhando hoje ☺️
pa,"ਮੈਂ ਤੇਰੇ ਲਈ ਇੱਥੇ ਹਾਂ 💜 ਅੱਜ ਤੂੰ ਕੀ ਮਹਿਸੂਸ ਕਰ ਰਿਹਾ/ਰਹੀ ਹੈਂ ਜਾਂ ਕੀ ਸੁਪਨਾ ਦੇਖ ਰਿਹਾ/ਰਹੀ ਹੈਂ, ਦੱਸ ☺️"
ro,Sunt aici pentru tine 💜 Spune-mi ce simți sau ce visezi azi ☺️
ru,"Я рядом с тобой 💜 Расскажи, что ты чувствуешь или о чём мечтаешь сегодня ☺️"
sr,Tu sam za tebe 💜 Reci mi šta osećaš ili o čemu sanjaš danas ☺️
sk,"Som tu pre teba 💜 Povedz mi, čo cítiš alebo o čom dnes snívaš ☺️"
sl,"Tukaj sem zate 💜 Povej mi, kaj danes čutiš ali sanjaš ☺️"
so,Waxaan kuu joogaa 💜 Ii sheeg waxaad dareemeyso ama ku riyoonayso maanta ☺️
es,Estoy aquí para ti 💜 Cuéntame qué sientes o qué sueñas hoy ☺️
sw,Niko hapa kwa ajili yako 💜 Niambie unajisikiaje au unaota ndoto gani leo ☺️
sv,Jag är här för dig 💜 Berätta vad du känner eller drömmer om idag ☺️
tl,Nandito ako para sa’yo 💜 Sabihin mo sa’kin kung ano ang nararamdaman mo o pinapangarap ngayon ☺️
ta,நான் உனக்காக இங்கே இருக்கிறேன் 💜 இன்று நீ என்ன உணர்கிறாய் அல்லது கனவு காண்கிறாய் என்பதை சொல் ☺️
te,నేను నిన్ను కోసమే ఇక్కడ ఉన్నాను 💜 నీవు ఈరోజు ఏమి అనుభవిస్తున్నావో లేదా కలగంటున్నావో చెప్పు ☺️
th,ฉันอยู่ตรงนี้เพื่อคุณ 💜 บอกฉันสิว่าวันนี้คุณรู้สึกหรือฝันถึงอะไร ☺️
tr,"Senin için buradayım 💜 Bugün ne hissediyor ya da ne hayal ediyorsun, bana anlat ☺️"
uk,"Я поруч із тобою 💜 Розкажи, що ти відчуваєш або про що мрієш сьогодні ☺️"
ur,میں تمہارے لیے یہاں ہوں 💜 مجھے بتاؤ آج تم کیا محسوس کر رہے ہو یا کیا خواب دیکھ رہے ہو ☺️
vi,Mình ở đây vì bạn 💜 Hãy nói mình biết hôm nay bạn cảm thấy thế nào hoặc đang mơ điều gì nhé ☺️
