Language Code,Translation
sq,"Hej, përshëndetje! Le të marrim një frymë të thellë 🍃 — nga hunda… mbaje… dhe nxirre ngadalë. Gati për të filluar?"
am,ሰላም! እንደገና ዕረፍት እንንበል 🍃 — በአፍንጫ ስትወስድ… አቁም… እና ቀስ በቀስ አስተንፈስ። ለመጀመር ዝግጅት አለ?
ar,مرحباً! لنأخذ نفساً عميقاً 🍃 — من الأنف... احتفظ به... وزفر ببطء. جاهز نبدأ؟
hy,Ողջույն։ Եկե՛ք խոր շունչ քաշենք 🍃 — քթով ներշնչել… պահել… և արտաշնչել։ Պատրա՞ստ ես սկսելու։
bn,হেই! চলো একটা গভীর শ্বাস নেই 🍃 — নাক দিয়ে নিই… ধরে রাখি… আর ধীরে ধীরে ছেড়ে দিই। শুরু করার জন্য প্রস্তুত?
bs,Hej! Udahnimo duboko 🍃 — na nos… zadrži… i izdahni. Spreman/na za početak?
bg,Здрасти! Хайде да поемем дълбоко въздух 🍃 — през носа… задръж… и издишай. Готов/а ли си да започнем?
my,မင်္ဂလာပါ။ လေရှည်ရှည်ရှူကြပါစို့ 🍃 — နှာခေါင်းကနေပင်… တချို့ထိန်းထားပြီး… ပြန်ထုတ်ပါ။ စရအောင်နော်?
ca,Hola! Fem una respiració profunda 🍃 — pel nas… mantén… i exhala. Llest/a per començar?
zh,嘿，你好！我们一起深呼吸一下 🍃 —— 用鼻子吸气…停留…然后呼气。准备好开始了吗？
hr,Hej! Udahnimo duboko 🍃 — kroz nos… zadrži… i izdahni. Spreman/na za početak?
cs,Ahoj! Pojďme se zhluboka nadechnout 🍃 — nosem… zadržet… a vydechnout. Připraven/a začít?
da,Hej der! Lad os tage en dyb indånding 🍃 — ind gennem næsen… hold… og pust ud. Klar til at gå i gang?
nl,Hoi daar! Laten we diep ademhalen 🍃 — in door je neus… vasthouden… en uitademen. Klaar om te beginnen?
et,Hei! Teeme ühe sügava hingetõmbe 🍃 — läbi nina… hoia kinni… ja välja. Valmis alustama?
fi,Hei siellä! Otetaanpa syvä hengitys 🍃 — nenän kautta sisään… pidä… ja ulos. Valmis aloittamaan?
fr,Coucou ! On prend une grande inspiration 🍃 — par le nez… on bloque… et on expire. Prêt(e) à commencer ?
ka,გამარჯობა! მოდი ღრმად ამოვისუნთქოთ 🍃 — ცხვირით ჩასუნთქე… შეაჩერე… და ამოისუნთქე. მზად ხარ დასაწყებად?
de,Hey du! Lass uns tief durchatmen 🍃 — durch die Nase… halten… und ausatmen. Bereit loszulegen?
el,Γεια σου! Πάμε να πάρουμε μια βαθιά ανάσα 🍃 — από τη μύτη… κράτα… και εκπνοή. Έτοιμος/η να ξεκινήσουμε;
gu,હાય! ચાલો ઊંડી શ્વાસ લઈએ 🍃 — નાકથી લો… રોકો… અને શાંત રીતે છોડો. શરૂ કરવા તૈયાર છો?
hi,हाय! चलो एक गहरी सांस लेते हैं 🍃 — नाक से अंदर… रोकें… और धीरे-धीरे बाहर छोड़ें। शुरू करें?
hu,Szia! Vegyünk egy mély levegőt 🍃 — orron be… tartsd… és fújd ki. Készen állsz kezdeni?
is,Hæ! Tökum djúpan andardrátt 🍃 — inn um nefið… haltu… og andaðu út. Tilbúin(n) að byrja?
id,Hai! Yuk tarik napas dalam 🍃 — lewat hidung… tahan sebentar… dan hembuskan. Siap mulai?
it,Ehi! Facciamo un bel respiro profondo 🍃 — dal naso… trattieni… ed espira. Prontə per iniziare?
ja,やあ！深呼吸しよう 🍃 — 鼻から吸って…止めて…吐いて。始める準備できた？
kn,ಹಾಯ್! ಒಂದು ಆಳವಾದ ಉಸಿರಾಟ ತೆಗೆದುಕೊಳ್ಳೋಣ 🍃 — ಮೂಗಿನ ಮೂಲಕ ಉಸಿರೆಳೆ… ಹಿಡಿಸು… ಮತ್ತು ಬಿಟ್ಟುಬಿಡು. ಆರಂಭಿಸೋಣವೇ?
kk,Сәлем! Терең дем алайық 🍃 — мұрынмен ішке… ұстап тұр… және шығарыңыз. Бастауға дайынсың ба?
ko,안녕하세요! 깊이 숨을 쉬어볼까요 🍃 — 코로 들이마시고… 멈추고… 내쉬어요. 시작할 준비됐나요?
lv,Sveiks! Ieelposim dziļi 🍃 — caur degunu… turi… un izelpo. Gatavs sākt?
lt,Sveikas! Giliai įkvėpkime 🍃 — pro nosį… sulaikyk… ir iškvėpk. Pasiruošęs pradėti?
mk,Здраво! Ајде да земеме длабок здив 🍃 — преку нос… задржи… и издиши. Подготвен/а за почеток?
ms,Hai! Mari tarik nafas dalam-dalam 🍃 — melalui hidung… tahan… dan hembus perlahan. Sedia nak mula?
ml,ഹായ്! നാം ഒരു ആഴമുള്ള ശ്വാസം എടുക്കാം 🍃 — മൂക്കിലൂടെ എടുത്ത്… നിർത്തി… പുറത്തിറക്കൂ. തുടങ്ങാനൊരുങ്ങിയോ?
mr,हाय! चला एक खोल श्वास घेऊया 🍃 — नाकातून घ्या… थांबा… आणि बाहेर सोडा. सुरुवात करूया?
mn,Сайн уу! Гүнзгий амьсгалцгаая 🍃 — хамраар амьсгалаа аваад… бариад… гаргаарай. Эхлэхэд бэлэн үү?
no,Hei der! La oss ta et dypt pust 🍃 — inn gjennom nesen… hold… og pust ut. Klar til å begynne?
fa,سلام! بیا یک نفس عمیق بکشیم 🍃 — از بینی... نگه دار... و بیرون بده. آماده‌ای شروع کنیم؟
pl,"Hej! Weźmy głęboki oddech 🍃 — przez nos… przytrzymaj… i wypuść. Gotowy/a, by zacząć?"
pt,Olá! Vamos respirar fundo 🍃 — pelo nariz… segura… e solta. Prontx para começar?
pa,ਸਤ ਸ੍ਰੀ ਅਕਾਲ! ਚਲੋ ਇੱਕ ਡੂੰਘੀ ਸਾਹ ਲਈਏ 🍃 — ਨੱਕ ਰਾਹੀਂ… ਰੋਕੋ… ਅਤੇ ਬਾਹਰ ਛੱਡੋ। ਸ਼ੁਰੂ ਕਰਨ ਲਈ ਤਿਆਰ ਹੋ?
ro,Hei! Hai să inspirăm adânc 🍃 — pe nas… ține… și expiră. Ești gata să începem?
ru,Привет! Давай глубоко вдохнём 🍃 — через нос… задержи… и выдохни. Готов(а) начать?
sr,Ćao! Udahnimo duboko 🍃 — kroz nos… zadrži… i izdahni. Spreman/na za početak?
sk,Ahoj! Nadýchajme sa zhlboka 🍃 — nosom… podrž… a vydýchni. Pripravený/á začať?
sl,Živjo! Vdihnimo globoko 🍃 — skozi nos… zadrži… in izdihni. Pripravljen/a za začetek?
so,Haye! Aan neefsano si qoto dheer 🍃 — sanka ku neefso… hayso… oo sii daa. Diyaar ma tahay?
es,¡Hola! Tomemos una respiración profunda 🍃 — por la nariz… aguanta… y exhala. ¿Listo/a para comenzar?
sw,Hujambo! Tupumue kwa kina 🍃 — kupitia puani… shikilia… na toa pumzi. Tayari kuanza?
sv,Hej där! Ta ett djupt andetag 🍃 — in genom näsan… håll… och andas ut. Redo att börja?
tl,Huy! Huminga tayo nang malalim 🍃 — sa ilong… pigilan… at huminga palabas. Game ka na ba?
