Language Code,Translation
sq,"Hej! Unë jam Carmela, asistentja jote personale. Si po të shkon dita?"
am,ሰላም! እኔ ካርሜላ ነኝ፣ የአንተ የግል ረዳት። ቀኑ እንዴት ነው?
ar,مرحباً! أنا كارميلا، مساعدتك الشخصية. كيف يسير يومك؟
hy,Ողջույն։ Ես Կարմելան եմ՝ քո անձնական օգնականը։ Ինչպես է անցնում օրըդ?
bn,"হেই! আমি কারমেলা, তোমার পার্সোনাল অ্যাসিস্ট্যান্ট। আজকের দিন কেমন যাচ্ছে?"
bs,"Hej! Ja sam Carmela, tvoja lična asistentkinja. Kako ti ide dan?"
bg,"Здрасти! Аз съм Кармела, твоята лична асистентка. Как върви денят ти?"
my,ဟေး! ကျွန်မက Carmela ပါ၊ မင်းရဲ့ကိုယ်ပိုင်အကူအညီပေးသူ။ မင်းရဲ့နေ့က ဘယ်လိုဖြတ်သွားနေလဲ?
ca,"Hola! Sóc la Carmela, la teva assistent personal. Com va el teu dia?"
zh,嗨！我是 Carmela，你的个人助手。今天过得怎么样？
hr,"Hej! Ja sam Carmela, tvoja osobna asistentica. Kako ti ide dan?"
cs,"Ahoj! Jsem Carmela, tvoje osobní asistentka. Jak se máš dnes?"
da,"Hej der! Jeg er Carmela, din personlige assistent. Hvordan går din dag?"
nl,"Hoi daar! Ik ben Carmela, jouw persoonlijke assistente. Hoe gaat je dag?"
et,"Tere! Mina olen Carmela, sinu isiklik assistent. Kuidas su päev läheb?"
fi,"Moikka! Olen Carmela, sinun henkilökohtainen avustajasi. Miten päiväsi sujuu?"
fr,"Coucou ! Je suis Carmela, ton assistante personnelle. Comment se passe ta journée ?"
ka,"გამარჯობა! მე ვარ კარმელა, შენი პერსონალური ასისტენტი. როგორ მიდის შენი დღე?"
de,"Hallo! Ich bin Carmela, deine persönliche Assistentin. Wie läuft dein Tag?"
el,"Γεια σου! Είμαι η Καρμέλα, η προσωπική σου βοηθός. Πώς πάει η μέρα σου;"
gu,"હાય! હું કાર્મેલા છું, તારી વ્યક્તિગત સહાયક. તારો દિવસ કેમ ચાલી રહ્યો છે?"
hi,"हाय! मैं कार्मेला हूँ, तुम्हारी पर्सनल असिस्टेंट। आज तुम्हारा दिन कैसा जा रहा है?"
hu,"Szia! Carmela vagyok, a személyes asszisztensed. Hogy telik a napod?"
is,"Hæ! Ég er Carmela, aðstoðarmaðurinn þinn. Hvernig gengur dagurinn þinn?"
id,"Hai! Aku Carmela, asisten pribadimu. Gimana harimu sejauh ini?"
it,"Ciao! Sono Carmela, la tua assistente personale. Come sta andando la tua giornata?"
ja,やあ！私はカーメラ、あなたのパーソナルアシスタントだよ。今日一日どう？
kn,"ಹಾಯ್! ನಾನು ಕರ್ಮೆಲಾ, ನಿನ್ನ ವೈಯಕ್ತಿಕ ಸಹಾಯಕರಾಗಿದ್ದೇನೆ. ನಿನ್ನ ದಿನ ಹೇಗಿದೆ?"
kk,"Сәлем! Мен Кармела, сенің жеке көмекшіңмін. Күнің қалай өтіп жатыр?"
ko,"안녕하세요! 저는 카르멜라예요, 당신의 개인 비서입니다. 오늘 하루 어때요?"
lv,"Sveiks! Esmu Carmela, tava personīgā asistente. Kā tev klājas šodien?"
lt,"Labas! Aš esu Carmela, tavo asmeninė asistentė. Kaip sekasi šiandien?"
mk,"Здраво! Јас сум Кармела, твојата лична асистентка. Како ти поминува денот?"
ms,"Hai! Saya Carmela, pembantu peribadi anda. Bagaimana hari anda?"
ml,"ഹായ്! ഞാൻ കർമേലാ, നിന്റെ വ്യക്തിഗത സഹായിയായി. നിന്റെ ദിവസം എങ്ങിനെയാണ് പോകുന്നത്?"
mr,"हाय! मी कार्मेला, तुझी वैयक्तिक सहाय्यक आहे. तुझा दिवस कसा चाललाय?"
mn,"Сайн уу! Би Кармела, чиний хувийн туслагч. Өнөөдөр ямар байна?"
no,"Hei der! Jeg er Carmela, din personlige assistent. Hvordan går dagen din?"
fa,سلام! من کارملا هستم، دستیار شخصی شما. روزت چطور پیش می‌ره؟
pl,"Hej! Jestem Carmela, twoja osobista asystentka. Jak mija twój dzień?"
pt,"Oi! Eu sou a Carmela, sua assistente pessoal. Como está seu dia?"
pa,"ਸਤ ਸ੍ਰੀ ਅਕਾਲ! ਮੈਂ ਕਾਰਮੇਲਾ ਹਾਂ, ਤੇਰੀ ਨਿੱਜੀ ਮਦਦਗਾਰ। ਤੇਰਾ ਦਿਨ ਕਿਵੇਂ ਜਾ ਰਿਹਾ ਹੈ?"
ro,"Salut! Sunt Carmela, asistenta ta personală. Cum merge ziua ta?"
ru,"Привет! Я Кармела, твоя личная помощница. Как проходит твой день?"
sr,"Ćao! Ja sam Carmela, tvoja lična asistentkinja. Kako ti prolazi dan?"
sk,"Ahoj! Ja som Carmela, tvoja osobná asistentka. Ako ide tvoj deň?"
sl,"Živjo! Sem Carmela, tvoja osebna pomočnica. Kako ti gre danes?"
so,"Salaan! Waxaan ahay Carmela, kaaliyahaaga shakhsiga ah. Sidee maalintaadu u socotaa?"
es,"¡Hola! Soy Carmela, tu asistente personal. ¿Cómo va tu día?"
sw,"Hujambo! Mimi ni Carmela, msaidizi wako binafsi. Siku yako inaendaje?"
sv,"Hej där! Jag är Carmela, din personliga assistent. Hur går din dag?"
tl,"Hello! Ako si Carmela, ang personal assistant mo. Kumusta ang araw mo?"
ta,"வணக்கம்! நான் கம்ரேலா, உங்களின் தனிப்பட்ட உதவியாளர். உங்கள் நாள் எப்படி செல்கிறது?"
te,"హాయ్! నేనే కార్మెలా, నీ పర్సనల్ అసిస్టెంట్. నేడు ఎలా ఉంది నీ రోజు?"
th,สวัสดี! ฉันชื่อคาร์เมล่า ผู้ช่วยส่วนตัวของคุณ วันนี้เป็นยังไงบ้าง?
tr,"Selam! Ben Carmela, senin kişisel asistanınım. Günün nasıl geçiyor?"
uk,"Привіт! Я Кармела, твоя особиста помічниця. Як проходить твій день?"
ur,ہیلو! میں کارمیلا ہوں، آپ کی ذاتی معاون۔ آپ کا دن کیسا جا رہا ہے؟
vi,"Chào bạn! Mình là Carmela, trợ lý cá nhân của bạn. Hôm nay của bạn thế nào rồi?"
